id|premissa|conclusao|suporte|confiança
110|international_reputation_(0.996, 1.4], body_type_Lean|eur_value_(-62940.0, 12354000.0]|0.4|0.975609756097561
111|international_reputation_(0.996, 1.4]|eur_value_(-62940.0, 12354000.0]|0.84|0.976744186046512
112|skill_moves_(2.9, 3.2]|international_reputation_(0.996, 1.4]|0.46|0.978723404255319
113|skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.46|0.978723404255319
114|eur_value_(-62940.0, 12354000.0], skill_moves_(2.9, 3.2]|international_reputation_(0.996, 1.4]|0.46|0.978723404255319
115|international_reputation_(0.996, 1.4], preferred_foot_Right|eur_value_(-62940.0, 12354000.0]|0.56|0.982456140350877
116|international_reputation_(0.996, 1.4], work_rate_def_Medium|eur_value_(-62940.0, 12354000.0]|0.59|0.983333333333333
117|skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0]|0.47|1
118|potential_(70.0, 74.0]|eur_value_(-62940.0, 12354000.0]|0.4|1
119|agility_(81.6, 86.4]|international_reputation_(0.996, 1.4]|0.28|1
120|eur_value_(-62940.0, 12354000.0], preferred_foot_Right|international_reputation_(0.996, 1.4]|0.56|1
121|international_reputation_(0.996, 1.4], work_rate_att_High|eur_value_(-62940.0, 12354000.0]|0.41|1
122|international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0]|0.46|1
123|international_reputation_(0.996, 1.4], potential_(70.0, 74.0]|eur_value_(-62940.0, 12354000.0]|0.38|1
124|international_reputation_(0.996, 1.4], weak_foot_(3.8, 4.2]|eur_value_(-62940.0, 12354000.0]|0.29|1
125|international_reputation_(0.996, 1.4], composure_(69.6, 75.2]|eur_value_(-62940.0, 12354000.0]|0.29|1
126|international_reputation_(0.996, 1.4], weight_kg_(69.2, 72.0]|eur_value_(-62940.0, 12354000.0]|0.3|1
127|eur_value_(-62940.0, 12354000.0], penalties_(61.0, 67.5]|international_reputation_(0.996, 1.4]|0.31|1
128|international_reputation_(0.996, 1.4], penalties_(61.0, 67.5]|eur_value_(-62940.0, 12354000.0]|0.31|1
129|work_rate_def_Medium, skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0]|0.32|1
130|work_rate_def_Medium, potential_(70.0, 74.0]|eur_value_(-62940.0, 12354000.0]|0.31|1
131|preferred_foot_Right, skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0]|0.29|1
132|work_rate_def_Medium, skill_moves_(2.9, 3.2]|international_reputation_(0.996, 1.4]|0.32|1
133|preferred_foot_Right, skill_moves_(2.9, 3.2]|international_reputation_(0.996, 1.4]|0.29|1
134|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium, preferred_foot_Right|international_reputation_(0.996, 1.4]|0.38|1
135|work_rate_def_Medium, skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.32|1
136|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium, skill_moves_(2.9, 3.2]|international_reputation_(0.996, 1.4]|0.32|1
137|international_reputation_(0.996, 1.4], work_rate_def_Medium, skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0]|0.32|1
138|international_reputation_(0.996, 1.4], work_rate_def_Medium, body_type_Lean|eur_value_(-62940.0, 12354000.0]|0.31|1
139|international_reputation_(0.996, 1.4], work_rate_def_Medium, weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0]|0.33|1
140|international_reputation_(0.996, 1.4], work_rate_def_Medium, potential_(70.0, 74.0]|eur_value_(-62940.0, 12354000.0]|0.3|1
141|eur_value_(-62940.0, 12354000.0], preferred_foot_Right, work_rate_att_High|international_reputation_(0.996, 1.4]|0.29|1
142|international_reputation_(0.996, 1.4], preferred_foot_Right, work_rate_att_High|eur_value_(-62940.0, 12354000.0]|0.29|1
143|preferred_foot_Right, skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.29|1
144|eur_value_(-62940.0, 12354000.0], preferred_foot_Right, skill_moves_(2.9, 3.2]|international_reputation_(0.996, 1.4]|0.29|1
145|international_reputation_(0.996, 1.4], preferred_foot_Right, skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0]|0.29|1
146|eur_value_(-62940.0, 12354000.0], preferred_foot_Right, body_type_Lean|international_reputation_(0.996, 1.4]|0.28|1
147|international_reputation_(0.996, 1.4], preferred_foot_Right, body_type_Lean|eur_value_(-62940.0, 12354000.0]|0.28|1
