id|premissa|conclusao|suporte|confiança
221|work_rate_def_Medium, international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2], preferred_foot_Right|eur_value_(-62940.0, 12354000.0]|0.4|0.975609756097561
222|international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2], preferred_foot_Right|eur_value_(-62940.0, 12354000.0]|0.44|0.977777777777778
223|international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2], work_rate_att_Medium|eur_value_(-62940.0, 12354000.0]|0.45|0.978260869565217
224|work_rate_def_Medium, international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0]|0.57|0.982758620689655
225|international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0]|0.64|0.984615384615385
226|volleys_(53.8, 59.5]|eur_value_(-62940.0, 12354000.0]|0.31|1
227|volleys_(53.8, 59.5]|international_reputation_(0.996, 1.4]|0.31|1
228|volleys_(53.8, 59.5]|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.31|1
229|eur_value_(-62940.0, 12354000.0], volleys_(53.8, 59.5]|international_reputation_(0.996, 1.4]|0.31|1
230|international_reputation_(0.996, 1.4], volleys_(53.8, 59.5]|eur_value_(-62940.0, 12354000.0]|0.31|1
